YEAR,RECORD_TYPE, NUMBER_SCRIPTS ,NDC9,PRODUCT_NDC,LAUNCH_YEAR,NPROPNAME,PROPNAME,GENERIC_DRUG_IND_CODE,THER_CLASS,LABELERNAME,DOSAGE_FORM,ACTIVE_STRENGTH,ACTIVE_STRENGTH_UNIT,PAYER, UNIQUE_MEMBERS ,TOTAL_COST,COST_PER_USER,COST_PER_SCRIPT,COST_PER_DAYS_SUPPLY,COST_PER_UNIT_DISPENSED, TOTAL_SCRIPTS_FILLED , DAYS_SUPPLY_MEDIAN , DAYS_SUPPLY_MEAN , DAYS_SUPPLY_STDDEV , QUANTITY_MEDIAN , QUANTITY_MEAN , QUANTITY_STDDEV ,INSURER_PAID_MEDIAN,INSURER_PAID_MEAN,INSURER_PAID_STDDEV,INSURER_PAID_SUM,MEMBER_PAID_MEDIAN,MEMBER_PAID_MEAN,MEMBER_PAID_STDDEV,MEMBER_PAID_SUM,TOTAL_PAID_MEDIAN,TOTAL_PAID_MEAN,TOTAL_PAID_STDDEV,TOTAL_PAID_SUM
2018,NDC, 76 ,003784105,0378-4105,2012,ABACAVIR SULFATE,ABACAVIR SULFATE,Generic,Anti-Infective Agents,MYLAN,TABLET,300,MG,Medicare, 14 ,"$25,006.43","$1,786.17",$329.03,$10.69,$5.15, 76 , 30.0 , 30.8 , 6.9 , 60.0 , 63.9 , 17.9 ,$272.38,$322.09,$129.46,"$24,479.07",$0.00,$6.38,$11.17,$484.85,$272.38,$329.03,$132.09,"$25,006.43"
2018,NDC, 95 ,317220557,31722-557,2013,ABACAVIR SULFATE,ABACAVIR SULFATE,Generic,Anti-Infective Agents,CAMBER PHARMACEUTICALS,TABLET,300,MG,Medicare, 17 ,"$28,746.15","$1,690.95",$302.59,$8.87,$4.40, 95 , 30.0 , 34.1 , 14.9 , 60.0 , 68.8 , 30.3 ,$240.85,$278.48,$263.02,"$26,455.64",$0.00,$19.46,$48.30,"$1,848.62",$333.70,$302.59,$273.50,"$28,746.15"
2018,NDC, 140 ,317220557,31722-557,2013,ABACAVIR SULFATE,ABACAVIR SULFATE,Generic,Anti-Infective Agents,CAMBER PHARMACEUTICALS,TABLET,300,MG,Minnesota Health Care Programs, 25 ,"$25,505.17","$1,020.21",$182.18,$6.09,$3.46, 140 , 30.0 , 29.9 , 1.3 , 60.0 , 52.7 , 12.7 ,$123.28,$139.02,$118.60,"$19,462.37",$0.00,$3.02,$15.86,$422.59,$125.76,$182.18,$107.83,"$25,505.17"
2018,NDC, 41 ,605053583,60505-3583,2012,ABACAVIR SULFATE,ABACAVIR SULFATE,Generic,Anti-Infective Agents,APOTEX,TABLET,300,MG,Medicare, 12 ,"$15,671.14","$1,305.93",$382.22,$9.67,$4.83, 41 , 30.0 , 39.5 , 23.2 , 60.0 , 79.1 , 46.4 ,$370.53,$367.62,$208.45,"$15,072.49",$0.00,$14.60,$66.34,$598.65,$370.53,$382.22,$237.14,"$15,671.14"
2018,NDC, 58 ,658620073,65862-073,2012,ABACAVIR SULFATE,ABACAVIR SULFATE,Generic,Anti-Infective Agents,AUROBINDO PHARMA,TABLET,300,MG,Commercial, 16 ,"$19,320.62","$1,207.54",$333.11,$11.01,$4.73, 58 , 30.0 , 30.3 , 8.6 , 60.0 , 70.4 , 27.2 ,$280.86,$302.96,$121.72,"$17,571.52",$0.00,$4.90,$6.84,$284.00,$285.22,$333.11,$165.71,"$19,320.62"
2018,NDC, 197 ,658620073,65862-073,2012,ABACAVIR SULFATE,ABACAVIR SULFATE,Generic,Anti-Infective Agents,AUROBINDO PHARMA,TABLET,300,MG,Medicare, 35 ,"$66,246.17","$1,892.75",$336.27,$10.02,$4.82, 197 , 30.0 , 33.6 , 14.5 , 60.0 , 69.7 , 31.0 ,$307.25,$313.70,$158.03,"$61,799.05",$0.00,$14.18,$41.52,"$2,793.84",$307.25,$336.27,$171.08,"$66,246.17"
2018,NDC, 121 ,658620073,65862-073,2012,ABACAVIR SULFATE,ABACAVIR SULFATE,Generic,Anti-Infective Agents,AUROBINDO PHARMA,TABLET,300,MG,Minnesota Health Care Programs, 25 ,"$19,313.43",$772.54,$159.62,$5.50,$2.78, 121 , 30.0 , 29.0 , 3.7 , 60.0 , 57.5 , 7.9 ,$124.28,$139.13,$82.91,"$16,834.59",$0.00,$2.59,$7.19,$313.56,$124.28,$159.62,$69.27,"$19,313.43"
2018,NDC, 55 ,658620900,65862-900,2017,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,AUROBINDO PHARMA,TABLET,600-300,MG,Commercial, 15 ,"$15,546.76","$1,036.45",$282.67,$8.95,$9.98, 55 , 30.0 , 31.6 , 9.0 , 30.0 , 28.3 , 10.3 ,$134.86,$251.66,$256.56,"$13,841.17",$0.00,$30.92,$74.85,"$1,700.63",$163.35,$282.67,$244.58,"$15,546.76"
2018,NDC, 220 ,658620900,65862-900,2017,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,AUROBINDO PHARMA,TABLET,600-300,MG,Medicare, 37 ,"$85,888.31","$2,321.31",$390.40,$12.19,$12.42, 220 , 30.0 , 32.0 , 10.7 , 30.0 , 31.4 , 11.2 ,$283.78,$355.47,$371.59,"$78,203.62",$1.25,$34.13,$102.65,"$7,509.61",$285.03,$390.40,$404.96,"$85,888.31"
2018,NDC, 103 ,658620900,65862-900,2017,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,AUROBINDO PHARMA,TABLET,600-300,MG,Minnesota Health Care Programs, 25 ,"$62,695.74","$2,507.83",$608.70,$20.29,$22.35, 103 , 30.0 , 30.0 , -   , 30.0 , 27.2 , 5.8 ,$392.81,$488.21,$425.05,"$50,285.81",$0.00,$25.18,$103.59,"$2,593.34",$491.39,$608.70,$369.48,"$62,695.74"
2018,NDC, 53 ,669930482,66993-482,2016,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,PRASCO LABORATORIES,TABLET,600-300,MG,Commercial, 14 ,"$30,209.74","$2,157.84",$570.00,$13.64,$13.11, 53 , 30.0 , 41.8 , 25.1 , 30.0 , 43.5 , 25.3 ,$356.40,$530.79,$502.51,"$28,132.00",$10.00,$18.90,$50.50,"$1,001.46",$424.20,$570.00,$502.69,"$30,209.74"
2018,NDC, 93 ,669930482,66993-482,2016,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,PRASCO LABORATORIES,TABLET,600-300,MG,Medicare, 20 ,"$33,901.93","$1,695.10",$364.54,$13.05,$12.83, 93 , 30.0 , 27.9 , 5.4 , 30.0 , 28.4 , 6.2 ,$284.93,$350.11,$175.96,"$32,560.44",$0.00,$10.59,$26.91,$985.09,$284.93,$364.54,$175.15,"$33,901.93"
2018,NDC, 150 ,669930482,66993-482,2016,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,PRASCO LABORATORIES,TABLET,600-300,MG,Minnesota Health Care Programs, 48 ,"$60,930.63","$1,269.39",$406.20,$14.28,$14.28, 150 , 30.0 , 28.4 , 5.2 , 30.0 , 28.4 , 5.2 ,$164.57,$314.77,$353.09,"$47,214.75",$0.00,$67.92,$252.74,"$10,187.73",$184.80,$406.20,$414.81,"$60,930.63"
2018,NDC, 52 ,681800288,68180-288,2017,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,LUPIN PHARMACEUTICALS,TABLET,600-300,MG,Medicare, 13 ,"$14,988.22","$1,152.94",$288.24,$9.76,$9.75, 52 , 30.0 , 29.5 , 3.1 , 30.0 , 29.6 , 3.1 ,$256.50,$270.89,$162.95,"$14,086.20",$0.00,$17.35,$46.90,$902.02,$270.48,$288.24,$155.57,"$14,988.22"
2018,NDC, 78 ,681800288,68180-288,2017,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,LUPIN PHARMACEUTICALS,TABLET,600-300,MG,Minnesota Health Care Programs, 18 ,"$53,152.62","$2,952.92",$681.44,$22.93,$22.93, 78 , 30.0 , 29.7 , 2.3 , 30.0 , 29.7 , 2.3 ,$197.65,$538.11,$493.14,"$41,972.71",$1.00,$121.57,$337.26,"$9,482.57",$870.61,$681.44,$514.23,"$53,152.62"
2018,NDC, 166 ,690970362,69097-362,2017,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,CIPLA USA,TABLET,600-300,MG,Medicare, 27 ,"$52,615.52","$1,948.72",$316.96,$10.51,$10.15, 166 , 30.0 , 30.1 , 5.1 , 30.0 , 31.2 , 7.5 ,$281.45,$301.32,$109.93,"$50,019.39",$0.00,$7.05,$34.08,"$1,170.53",$281.45,$316.96,$131.72,"$52,615.52"
2018,NDC, 340 ,690970362,69097-362,2017,"ABACAVIR SULFATE,LAMIVUDINE",ABACAVIR SULFATE-LAMIVUDINE,Generic,Anti-Infective Agents,CIPLA USA,TABLET,600-300,MG,Minnesota Health Care Programs, 69 ,"$134,637.35","$1,951.27",$395.99,$13.50,$14.05, 340 , 30.0 , 29.3 , 3.5 , 30.0 , 28.2 , 5.2 ,$184.80,$375.18,$393.54,"$127,561.40",$0.00,$1.71,$22.02,$582.24,$199.35,$395.99,$385.34,"$134,637.35"
2018,NDC," 2,767 ",497020231,49702-231,2014,"ABACAVIR,DOLUTEGRAVIR,LAMIVUDINE",TRIUMEQ,Brand,Anti-Infective Agents,VIIV HEALTHCARE,TABLET,600-50-300,MG,Commercial, 391 ,"$9,668,846.18","$24,728.51","$3,494.34",$95.05,$93.79," 2,767 ", 30.0 , 36.8 , 19.0 , 30.0 , 37.3 , 19.9 ,"$2,806.70","$3,232.66","$1,775.44","$8,944,758.61",$40.00,$239.06,$624.65,"$661,477.57","$2,842.38","$3,494.34","$1,766.32","$9,668,846.18"
2018,NDC," 2,488 ",497020231,49702-231,2014,"ABACAVIR,DOLUTEGRAVIR,LAMIVUDINE",TRIUMEQ,Brand,Anti-Infective Agents,VIIV HEALTHCARE,TABLET,600-50-300,MG,Medicare, 276 ,"$7,295,120.38","$26,431.60","$2,932.12",$95.34,$94.00," 2,488 ", 30.0 , 30.8 , 7.4 , 30.0 , 31.2 , 8.2 ,"$2,832.76","$2,796.33",$795.64,"$6,957,261.30",$0.00,$110.84,$262.75,"$275,778.50","$2,893.18","$2,932.12",$804.60,"$7,295,120.38"
2018,NDC," 5,377 ",497020231,49702-231,2014,"ABACAVIR,DOLUTEGRAVIR,LAMIVUDINE",TRIUMEQ,Brand,Anti-Infective Agents,VIIV HEALTHCARE,TABLET,600-50-300,MG,Minnesota Health Care Programs, 697 ,"$14,496,021.08","$20,797.73","$2,695.93",$91.06,$91.05," 5,377 ", 30.0 , 29.6 , 3.1 , 30.0 , 29.6 , 3.1 ,"$2,786.16","$2,319.89",$987.83,"$12,474,029.00",$0.00,$7.49,$20.30,"$40,298.83","$2,834.95","$2,695.93",$500.22,"$14,496,021.08"
2018,NDC, 527 ,705390001,70539-001,2017,ABALOPARATIDE,TYMLOS,Brand,Endocrine and Metabolic Drugs,RADIUS HEALTH,SOLUTION PEN-INJECTOR,3120,MCG/1.56ML,Commercial, 105 ,"$940,923.73","$8,961.18","$1,785.43",$55.88,"$1,031.71", 527 , 30.0 , 32.0 , 10.6 , 1.6 , 1.7 , 0.6 ,"$1,625.90","$1,611.87",$696.11,"$849,457.08",$16.66,$173.56,$381.41,"$91,466.65","$1,743.02","$1,785.43",$622.75,"$940,923.73"
2018,NDC, 335 ,705390001,70539-001,2017,ABALOPARATIDE,TYMLOS,Brand,Endocrine and Metabolic Drugs,RADIUS HEALTH,SOLUTION PEN-INJECTOR,3120,MCG/1.56ML,Medicare, 65 ,"$592,355.83","$9,113.17","$1,768.23",$57.19,"$1,051.10", 335 , 30.0 , 30.9 , 6.0 , 1.6 , 1.7 , 0.5 ,"$1,655.87","$1,533.37",$377.56,"$513,677.69",$87.50,$233.94,$293.22,"$78,370.41","$1,750.03","$1,768.23",$335.18,"$592,355.83"
2018,NDC, 62 ,705390001,70539-001,2017,ABALOPARATIDE,TYMLOS,Brand,Endocrine and Metabolic Drugs,RADIUS HEALTH,SOLUTION PEN-INJECTOR,3120,MCG/1.56ML,Minnesota Health Care Programs, 16 ,"$108,391.60","$6,774.48","$1,748.25",$57.90,$931.20, 62 , 30.0 , 30.2 , 0.9 , 2.0 , 1.9 , 0.2 ,"$1,740.02","$1,730.06",$43.13,"$107,263.94",$3.00,$4.44,$7.02,$275.00,"$1,743.02","$1,748.25",$50.73,"$108,391.60"
2018,NDC," 2,535 ",000032188,0003-2188,2011,ABATACEPT,ORENCIA,Brand,Analgesics and Anesthetics,B-M SQUIBB U.S. (PRIMARY CARE),SOLUTION PREFILLED SYRINGE,125,MG/ML,Commercial, 361 ,"$11,417,468.75","$31,627.34","$4,503.93",$150.43,"$1,033.35"," 2,535 ", 28.0 , 29.9 , 10.5 , 4.0 , 4.4 , 1.8 ,"$4,133.59","$4,181.83","$1,799.25","$10,600,942.45",$25.00,$313.08,$789.77,"$793,647.73","$4,164.13","$4,503.93","$1,661.47","$11,417,468.75"
2018,NDC, 784 ,000032188,0003-2188,2011,ABATACEPT,ORENCIA,Brand,Analgesics and Anesthetics,B-M SQUIBB U.S. (PRIMARY CARE),SOLUTION PREFILLED SYRINGE,125,MG/ML,Medicare, 125 ,"$3,672,845.36","$29,382.76","$4,684.75",$149.70,"$1,010.97", 784 , 28.0 , 31.3 , 13.6 , 4.0 , 4.6 , 2.3 ,"$4,190.40","$4,510.44","$2,062.65","$3,536,186.41",$3.70,$170.27,$445.50,"$133,491.12","$4,270.62","$4,684.75","$2,105.98","$3,672,845.36"
2018,NDC, 594 ,000032188,0003-2188,2011,ABATACEPT,ORENCIA,Brand,Analgesics and Anesthetics,B-M SQUIBB U.S. (PRIMARY CARE),SOLUTION PREFILLED SYRINGE,125,MG/ML,Minnesota Health Care Programs, 81 ,"$2,481,205.11","$30,632.16","$4,177.11",$149.13,"$1,044.28", 594 , 28.0 , 28.0 , 0.1 , 4.0 , 4.0 , -   ,"$4,155.88","$4,138.44",$235.87,"$2,458,234.68",$1.50,$4.48,$7.25,"$2,661.87","$4,192.86","$4,177.11",$248.57,"$2,481,205.11"
2018,NDC, 39 ,000024815,0002-4815,2017,ABEMACICLIB,VERZENIO,Brand,Antineoplastic Agents,LILLY,TABLET,100,MG,Medicare, 13 ,"$378,459.23","$29,112.25","$9,704.08",$346.57,$173.29, 39 , 28.0 , 28.0 , -   , 56.0 , 56.0 , -   ,"$11,335.60","$9,521.79","$3,970.24","$371,349.73",$0.00,$144.89,$491.28,"$5,650.55","$11,441.14","$9,704.08","$4,028.42","$378,459.23"
2018,NDC, 119 ,000025337,0002-5337,2017,ABEMACICLIB,VERZENIO,Brand,Antineoplastic Agents,LILLY,TABLET,150,MG,Commercial, 32 ,"$1,269,380.46","$39,668.14","$10,667.06",$398.30,$188.90, 119 , 28.0 , 26.8 , 4.2 , 56.0 , 56.5 , 16.6 ,"$11,298.68","$10,430.05","$1,934.98","$1,241,176.22",$0.00,$225.80,$741.91,"$26,870.62","$11,358.67","$10,667.06","$1,883.65","$1,269,380.46"
2018,NDC, 62 ,000025337,0002-5337,2017,ABEMACICLIB,VERZENIO,Brand,Antineoplastic Agents,LILLY,TABLET,150,MG,Medicare, 25 ,"$709,560.14","$28,382.41","$11,444.52",$412.77,$182.97, 62 , 28.0 , 27.7 , 2.0 , 56.0 , 62.5 , 19.6 ,"$10,960.88","$10,585.15","$1,354.46","$656,279.04",$568.56,$825.31,"$1,108.62","$51,169.14","$11,534.51","$11,444.52",$958.80,"$709,560.14"
2018,NDC, 29 ,000025337,0002-5337,2017,ABEMACICLIB,VERZENIO,Brand,Antineoplastic Agents,LILLY,TABLET,150,MG,Minnesota Health Care Programs, 12 ,"$334,125.62","$27,843.80","$11,521.57",$410.47,$205.74, 29 , 28.0 , 28.1 , 0.4 , 56.0 , 56.0 , -   ,"$11,371.76","$11,449.61",$290.16,"$332,038.66",$20.00,$10.34,$10.17,$300.00,"$11,440.89","$11,521.57",$290.58,"$334,125.62"
2018,NDC, 564 ,578940150,57894-150,2011,ABIRATERONE ACETATE,ZYTIGA,Brand,Antineoplastic Agents,JANSSEN BIOTECH,TABLET,250,MG,Commercial, 91 ,"$5,064,801.76","$55,657.16","$8,980.14",$325.75,$78.38, 564 , 30.0 , 27.6 , 6.2 , 120.0 , 114.6 , 40.8 ,"$10,013.71","$8,644.91","$2,359.06","$4,875,728.12",$15.00,$276.58,$853.73,"$155,993.73","$10,139.60","$8,980.14","$2,383.45","$5,064,801.76"
